draws,seed,mean,median,p10,p90
2000,69520260814,393128.642166,123468.579285,-272080.794661,1379849.78376
20000,69520260814,397223.362142,121761.328445,-287280.887859,1451797.34953
200000,69520260814,400696.501147,121522.187576,-288375.488987,1457765.1168
