forecast_basis,horizon,output_metric,input_parameter,pearson_correlation,interpretation
conditional,five_year_cumulative,net_causal_cash,reliability,0.244254780866,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,repeat_use,0.370959818627,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,review_cash_cost_per_user_year,-0.0994344485206,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,security_cash_cost_per_user_year,-0.0972981626882,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,skilled_time_use_share,0.232889331057,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,support_cash_cost_per_user_year,-0.113661310607,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,support_hours_per_support_user_year,-0.0341275915894,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,time_additionality,0.0913793348408,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,timing_shift_fraction,-0.00767537185558,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,adoption_fraction,0.321607840546,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,adoption_liquidity_exponent,-0.0888657136174,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,api_cost_per_user_year,-0.0660391277533,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,cash_additionality,0.0660097570438,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,cash_use_share,0.436775203083,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,cause_directed_payment_share,0.00431011994526,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,chargeback_loss_rate,-0.0586173814826,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,cloud_cost_per_user_year,-0.0648092778947,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,coact_activity_share,0.132686104905,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,coact_attrition,-0.102271587951,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,coact_role_completion,0.12946759052,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,coact_same_action_share,0.0312052372088,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,coordination_hours_per_completion,-0.0303919655568,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_bonus_response,0.00261506163718,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_bonus_transfer_fee,-0.0562950246192,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_contributor_interest,0.0718767895762,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_deadline_miss_rate,-0.0261517943188,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_free_riding,-0.0571916376926,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_invalid_pledge_share,-0.0649515903877,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_mean_pledge,0.0035780444695,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_moral_valuation,0.00216379310577,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_pool_target,0.00488672065749,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_pools_per_10000_user_years,0.0902658679339,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_potential_contributors_per_pool,0.11115909909,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_social_proof,0.0628078138604,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_strategic_delay,-0.000967988705706,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_surcharge_sensitivity,-0.003544322062,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,dac_willing_pledge_ratio,0.060722108657,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,direct_category_fit,0.0891801041272,screening_association_not_causal_or_sobol
