scenario,forecast_basis,horizon,metric,field,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_zero,evidence_status
central,conditional,year_1,skilled_work_hours,strategic_reasoning,hours,200000,69520260814,0.486568200233,0.00899386881257,0,0,0,0.153799673587,0.865358942104,2.06000017402,0.364205,especially_prior_driven_appendix_only
central,conditional,year_1,skilled_work_hours,environmental_protection,hours,200000,69520260814,0.924696048438,0.0173506871371,0,0,0,0.294426516328,1.64611417513,3.89583320011,0.363435,especially_prior_driven_appendix_only
central,conditional,year_5_annual,cause_directed_cash,factory_farming_reduction,USD,200000,69520260814,60158.2892826,34906.1887015,2208.96108827,4647.55647055,13335.1691178,79487.3463323,147699.651657,204027.311912,0.000355,especially_prior_driven_appendix_only
central,conditional,year_5_annual,cause_directed_cash,wild_animal_suffering,USD,200000,69520260814,11769.4000915,6835.47734433,449.515481036,926.278136933,2612.72034861,15416.2568942,28770.2939214,39826.1341851,0.000375,especially_prior_driven_appendix_only
central,conditional,year_5_annual,cause_directed_cash,residual_existential_risk_prevention,USD,200000,69520260814,37784.4884689,22198.7123605,1440.84892298,3022.96884119,8529.91040998,49889.2796331,92331.6197432,127489.291418,0.00039,especially_prior_driven_appendix_only
central,conditional,year_5_annual,cause_directed_cash,preventing_extreme_power_concentration,USD,200000,69520260814,53075.5761423,31142.3317356,1743.36123441,3987.94504046,11689.2800228,70454.5335642,130211.706207,179554.172554,0.000305,especially_prior_driven_appendix_only
central,conditional,year_5_annual,cause_directed_cash,biorisk_prevention,USD,200000,69520260814,27332.4450713,15950.4635617,998.505848119,2115.23178861,6074.00652492,35984.9229531,66887.2608292,92392.1221535,0.00027,especially_prior_driven_appendix_only
central,conditional,year_5_annual,cause_directed_cash,space_governance,USD,200000,69520260814,14167.9873853,8234.72507055,537.458830058,1118.88021875,3164.55924799,18554.3705142,34655.9225002,48010.5644744,0.000275,especially_prior_driven_appendix_only
central,conditional,year_5_annual,cause_directed_cash,global_health,USD,200000,69520260814,79998.8479252,47096.6865115,2765.42388162,6109.88858877,17896.4159486,106547.938479,196589.551102,269628.740506,0.000355,especially_prior_driven_appendix_only
central,conditional,year_5_annual,cause_directed_cash,strategic_reasoning,USD,200000,69520260814,19473.5298953,11277.7983891,773.872585208,1576.82359392,4360.28642471,25472.2144223,47514.78094,65771.4908652,0.00028,especially_prior_driven_appendix_only
central,conditional,year_5_annual,cause_directed_cash,environmental_protection,USD,200000,69520260814,65969.4361221,38444.0452261,2280.58382848,4994.04106434,14557.463544,87228.2068895,162138.579035,223814.420249,0.000345,especially_prior_driven_appendix_only
central,conditional,year_5_annual,ordinary_action_hours,factory_farming_reduction,hours,200000,69520260814,55.3261854398,1.36758073037,0,0,0,21.1450489813,108.984538464,245.653787179,0.36392,especially_prior_driven_appendix_only
central,conditional,year_5_annual,ordinary_action_hours,wild_animal_suffering,hours,200000,69520260814,6.08589071939,0.145675309702,0,0,0,2.29037324067,11.8972490278,26.7231460436,0.363995,especially_prior_driven_appendix_only
