forecast_basis,rank,input_parameter,pearson_correlation,normalized_squared_correlation,method
conditional,49,displacement_fraction_90d,-0.0214297899659,0.000211063944363,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,50,dac_pool_target,0.0156277112493,0.000112245509959,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,51,timing_shift_fraction,-0.0122048118194,6.8460551935e-05,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,52,dac_bonus_response,0.0115208406241,6.10023489807e-05,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,53,dac_surcharge_sensitivity,0.00666969012393,2.04451139185e-05,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,54,dac_moral_valuation,0.00461714483749,9.79772436869e-06,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,55,direct_mean_price,0.00437636213258,8.80247345394e-06,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,56,field_concentration,0.00379197644016,6.60860023763e-06,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,57,dac_strategic_delay,2.88210198585e-05,3.81765703444e-10,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,1,cash_use_share,0.436262840661,0.144299535214,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,2,redirect_compatibility,0.408248075747,0.126362083843,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,3,market_liquidity,0.390522926554,0.115627612124,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,4,adoption_fraction,0.325126574596,0.0801444445816,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,5,platform_trust,0.305808012741,0.0709032606348,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,6,repeat_use,0.303106936041,0.0696562733094,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,7,direct_match_efficiency,0.245520221573,0.0457028224243,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,8,direct_demand_fraction,0.23524012437,0.0419557305068,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,9,direct_supply_fraction,0.21550922504,0.0352127721777,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,10,reliability,0.199667823997,0.0302262768898,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,11,redirect_min_fill_loss,-0.195305826835,0.0289200398653,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,12,operational_probability,0.181323039029,0.024927255502,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,13,ordinary_time_use_share,0.179818084239,0.0245151875068,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,14,skilled_time_use_share,0.161857058515,0.0198624022802,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,15,coact_role_completion,0.132924014249,0.0133960075336,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,16,evidence_acceptance,0.127392927586,0.012304362651,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,17,coact_activity_share,0.127135119834,0.0122546118469,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,18,redirect_settlement_loss,-0.109116645193,0.00902714662503,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,19,coact_attrition,-0.102767443008,0.00800717993846,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,20,redirect_addon_ratio,0.0965674497613,0.00707017251895,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,21,dac_pools_per_10000_user_years,0.0952902311831,0.00688438655325,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,22,adoption_liquidity_exponent,-0.0892777605841,0.00604303434492,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,23,cash_additionality,0.0857426182878,0.00557393588645,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,24,support_cash_cost_per_user_year,-0.0775900900946,0.00456437164527,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,25,direct_price_fit,0.0768299808868,0.00447538020661,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,26,time_additionality,0.0737558512657,0.00412440634395,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,27,review_cash_cost_per_user_year,-0.0724882887644,0.00398386103895,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,28,refund_loss_rate,-0.07021548713,0.00373795710078,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,29,failed_settlement_loss_rate,-0.067357150436,0.00343982143411,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,30,legal_cash_cost_per_user_year,-0.0652359280333,0.00322657806005,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,31,security_cash_cost_per_user_year,-0.0639248684694,0.00309819089063,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,32,dac_invalid_pledge_share,-0.0634898146661,0.00305616364438,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,33,dac_social_proof,0.0631678491381,0.00302524579087,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,34,chargeback_loss_rate,-0.0600007879149,0.00272949556767,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,35,cloud_cost_per_user_year,-0.0588951445347,0.0026298287587,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,36,dac_free_riding,-0.0570552015176,0.002468078528,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,37,redirect_high_impact_share,-0.0568225955443,0.00244799553638,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,38,dac_willing_pledge_ratio,0.0561414048867,0.00238965408442,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,39,api_cost_per_user_year,-0.0558845450782,0.00236783767496,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,40,dac_bonus_transfer_fee,-0.0490356245685,0.00182302199737,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,41,processor_fee_rate,-0.0456432964331,0.00157951040495,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,42,displacement_fraction_12m,-0.0419517778219,0.00133434836075,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,43,redirect_lower_impact_share,0.0403002200024,0.00123135511984,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,44,direct_skilled_category_share,0.0352755623181,0.000943444544242,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,45,coact_same_action_share,0.0300653247763,0.000685330855969,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,46,coordination_hours_per_completion,-0.0266061385179,0.000536700725137,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,47,support_hours_per_support_user_year,-0.0229290558335,0.000398603245197,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,48,displacement_fraction_90d,-0.0181888553551,0.000250829853821,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,49,cause_directed_payment_share,0.0170268721845,0.000219805339629,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,50,dac_pool_target,0.0143127204417,0.000155314807874,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,51,timing_shift_fraction,-0.0108274993525,8.88842514577e-05,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,52,dac_bonus_response,0.0082859526458,5.2053912826e-05,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,53,dac_surcharge_sensitivity,0.00604676408643,2.77213602357e-05,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,54,dac_moral_valuation,0.00559895582166,2.37674488496e-05,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,55,direct_mean_price,0.00262177223528,5.21144797187e-06,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,56,field_concentration,0.001784672121,2.41482334304e-06,normalized_squared_Pearson_screening_not_variance_decomposition
probability_weighted,57,dac_strategic_delay,-0.000608181570361,2.80436796729e-07,normalized_squared_Pearson_screening_not_variance_decomposition
