scenario,forecast_basis,horizon,metric,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_zero,probability_zero_or_negative,probability_negligible,probability_gt_100k,probability_gt_500k,probability_gt_1m,probability_gt_5m,evidence_status
central,conditional,year_1,legal_cash_costs,USD,200000,69520260814,1941.9058693,1775.14467696,535.947597976,702.830034683,1077.31606464,2679.58101873,3487.53764624,3902.24146602,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,security_cash_costs,USD,200000,69520260814,1939.43040224,1772.56953214,534.018251781,700.648836814,1073.8651146,2675.75126701,3485.20678226,3894.33733944,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,cash_operating_costs,USD,200000,69520260814,17608.6752018,16785.6058335,8715.62915339,10145.2944971,12989.0968005,21153.4876459,25725.2928073,28988.8245357,0,0,0,2.5e-05,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,net_causal_cash,USD,200000,69520260814,17382.8696122,5455.78377538,-15236.5638159,-12171.1697071,-6098.84004327,28303.247094,62599.0744432,90476.8611166,0,0.397905,0.56757,0.03931,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,ordinary_action_hours,hours,200000,69520260814,97.4389308098,22.2705830292,0.488810553752,1.22620084762,5.15989914126,83.5751347362,236.716532199,419.65025085,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,skilled_work_hours,hours,200000,69520260814,25.3866379807,4.76392628002,0.0861188962047,0.223871621335,1.02734161564,19.3624985081,59.9869653424,111.251688847,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,support_review_coordination_hours,hours,200000,69520260814,38068.8420577,36957.994128,17195.558931,20865.0987421,28183.0858759,47569.6725592,57005.0162525,61803.4528512,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,completed_direct_trades,commitments,200000,69520260814,64.969991055,19.1919072833,0.585688855881,1.35824337328,5.05426069232,62.8940160975,162.291542695,272.283602244,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,completed_same_action_coacts,groups,200000,69520260814,2.11559772696,0.440964748728,0.00876663114293,0.0222715143146,0.0971005500726,1.71819775228,5.13386026279,9.29702461163,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,completed_complementary_role_coacts,groups,200000,69520260814,0.482229741159,0.0820309031887,0.00130510602121,0.00349184330145,0.0165626582124,0.348338595576,1.11147569634,2.10491572282,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,completed_dietary_animal_product,commitments_or_groups,200000,69520260814,15.3039999748,4.5019967989,0.13819098,0.319878140834,1.18522162655,14.7643396443,38.2460662815,64.2353481771,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,completed_consumption_change,commitments_or_groups,200000,69520260814,12.2431999798,3.60159743912,0.110552784,0.255902512667,0.948177301238,11.8114717154,30.5968530252,51.3882785417,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,completed_transport_carbon,commitments_or_groups,200000,69520260814,11.2229333148,3.30146431919,0.101340052,0.234577303278,0.869162526135,10.8271824058,28.0471152731,47.1059219965,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,completed_skilled_work,commitments_or_groups,200000,69520260814,16.5544852739,4.19533720616,0.110894991626,0.265764588511,1.0493790217,14.7289431919,40.2901399563,71.174019149,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
