scenario,forecast_basis,draws,seed,invariant,observed_max,tolerance,passed
thin_market,conditional,200000,69520360817,max_direct_match_over_supply,-38.4567618675,1e-07,True
thin_market,conditional,200000,69520360817,max_direct_match_without_price_compatibility,0,1e-07,True
thin_market,conditional,200000,69520360817,max_direct_offered_over_time_budget,-127017.255781,1e-07,True
thin_market,conditional,200000,69520360817,max_direct_payment_over_demand,-230.87052696,1e-07,True
thin_market,conditional,200000,69520360817,max_direct_payment_reconciliation_error,2.91038304567e-11,1e-07,True
thin_market,conditional,200000,69520360817,max_displacement_over_new_cash,-0.0144683092576,1e-07,True
thin_market,conditional,200000,69520360817,max_field_cash_reconciliation_error,1.86264514923e-09,1e-05,True
thin_market,conditional,200000,69520360817,max_field_ordinary_reconciliation_error,1.45519152284e-11,1e-05,True
thin_market,conditional,200000,69520360817,max_field_skilled_reconciliation_error,3.63797880709e-12,1e-05,True
thin_market,conditional,200000,69520360817,max_net_cash_reconciliation_error,7.56699591875e-10,1e-07,True
thin_market,conditional,200000,69520360817,max_redirect_classification_reconciliation_error,4.65661287308e-10,1e-07,True
thin_market,conditional,200000,69520360817,max_redirect_principal_reconciliation_error,0,1e-07,True
thin_market,conditional,200000,69520360817,max_redirect_settlement_reconciliation_error,3.49245965481e-10,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_cash_budget_overage,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_dac_accepted_over_willing_pledge,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_dac_funding_over_accepted_principal,1.16415321827e-10,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_dac_liability_over_reserve,7.27595761418e-12,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_dac_liability_settlement_error,7.27595761418e-12,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_dac_principal_reconciliation_error,2.32830643654e-10,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_dac_reserve_reconciliation_error,2.91038304567e-11,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_dac_threshold_reconciliation_error,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_dac_waiting_reconciliation_error,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_direct_accepted_price_above_wtp,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_direct_accepted_price_below_wta,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_direct_completion_over_match,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_direct_match_over_supply,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_direct_match_without_price_compatibility,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_direct_offered_over_time_budget,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_direct_payment_over_demand,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_direct_payment_reconciliation_error,1.45519152284e-11,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_displacement_over_new_cash,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_field_cash_reconciliation_error,1.39698386192e-09,1e-05,True
thin_market,probability_weighted,200000,69530360836,max_field_ordinary_reconciliation_error,1.81898940355e-12,1e-05,True
thin_market,probability_weighted,200000,69530360836,max_field_skilled_reconciliation_error,3.63797880709e-12,1e-05,True
